canon_id,incipit,clean_incipit
207,ንወጥን፡ በረድኤተ፡ እግዚአብሔር፡ ወበአኰቴተ፡ ስብሐቲሁ፨ ወንዜንወክሙ፡ ኦአኃውየ፡ ፍቁራን፡ ሕዝበ፡ ክርስቲያን፡ በእንተ፡  ዕበየ፡ ተአምሪሃ፡ ወመንክራቲሃ፡ ... ፨ ዘገበረት፡  በሀገረ፡ አትሪብ፡ ወሀሎ፡ ፩ንጉሥ፡ ወውእቱ፡ መዋዕል፡ ዘስሙ፡  ከሊፋ፡ ወዝ፡ ብሂል፡ ዘነግሠ፡ እምድኅረ፡ አቤሁ፡ ረስዲድ፡ ወትርጓሜሁ፡ …,ንወጥን በረድኤተ እግዚአብሔር ወበአኰቴተ ስብሐቲሁ ወንዜንወክሙ ኦአኃውየ ፍቁራን ሕዝበ ክርስቲያን በእንተ ዕበየ ተአምሪሃ ወመንክራቲሃ ዘገበረት በሀገረ አትሪብ ወሀሎ ፩ንጉሥ ወውእቱ መዋዕል ዘስሙ ከሊፋ ወዝ ብሂል ዘነግሠ እምድኅረ አቤሁ ረስዲድ ወትርጓሜሁ
159,ተብህለ፡ ከመ፡ ሀሎ፡ ፩ደብር፡ ዘደናግል፡ በውስተ፡ አሐቲ፡ ሀገር፨ ወሀለወት፡ ውስተ፡ ውእቱ፡ ደብር፡ ብእሲት፡ ሠናይት፡ መነኮሳይት፡ ፈራሂተ፡ እግዚአብሔር፡ ወትትለአክ፡ ውስተ፡ ቤተ፡ ክርስቲያና፡ ለእግዝእትነ፡ ... እመ፡ ኵሉ፡ ዓለም፡ እመ፡ ፍሥሐ፡  …,ተብህለ ከመ ሀሎ ፩ደብር ዘደናግል በውስተ አሐቲ ሀገር ወሀለወት ውስተ ውእቱ ደብር ብእሲት ሠናይት መነኮሳይት ፈራሂተ እግዚአብሔር ወትትለአክ ውስተ ቤተ ክርስቲያና ለእግዝእትነ እመ ኵሉ ዓለም እመ ፍሥሐ
160,ተብህለ፡ ከመ፡ ሀሎ፡ ፩ብእሲ፡ በሀገረ፡ እልፍንድር፡ ወኮነ፡ ይፈቅድ፡ ከመ፡ ይኩን፡ ብዙኃ፡ መዐረ፡ ወብዙኃ፡ ሰምዐ፡ ፈድፋደ፡ እምኵሎሙ፡ አግዋሪሁ፨ ወሖረ፡ ኀበ፡ አሐቲ፡ መሰሪት፡ ብእሲት፡ ወይቤላ፡ እስእለኪ፡ ከመ፡ ትምክርኒ፡ ምንተ፡ እግበር፡ ከመ፡ ይኵን፡ ብዙኃ፡ መዓረ፡ ወብዙኃ፡ ሰምዓ፡ ፈድፋደ፡ እምኵሉ፡ አግዋርየ፨ ወትቤሎ፡ ይእቲ፡ ብእሲት፡ መሰሪት፡ አንሰ፡ …,ተብህለ ከመ ሀሎ ፩ብእሲ በሀገረ እልፍንድር ወኮነ ይፈቅድ ከመ ይኩን ብዙኃ መዐረ ወብዙኃ ሰምዐ ፈድፋደ እምኵሎሙ አግዋሪሁ ወሖረ ኀበ አሐቲ መሰሪት ብእሲት ወይቤላ እስእለኪ ከመ ትምክርኒ ምንተ እግበር ከመ ይኵን ብዙኃ መዓረ ወብዙኃ ሰምዓ ፈድፋደ እምኵሉ አግዋርየ ወትቤሎ ይእቲ ብእሲት መሰሪት አንሰ
156,ተብህለ፡ ከመ፡ ሀሎ፡ ፩ወሬዛ፡ ዘሠናይ፡ አርአያሁ፨ ወያፈቅራ፡ ለእግዝእትነ፡ ... ፨ በኵሉ፡ ልቡ፡ ወይትአ*ካ፡  በኵሉ፡ ክሂሎቱ፡ እንዘ፡ ሀሎ፡ ውስተ፡ ዓለም፡ እምቅድመ፡ ይመንኵስ፡ ወእምዝ፡ ሖረ፡ ወቦአ፡ ውስተ፡ ደብር፡ ወአመከረ፡ ርእሶ፡ አሐተ፡ ዓመተ፡ ወይቤሎ፡ አበ፡ ምኔት፡ አእምር፡ ኦወልድየ፡ እስመ፡ … ,ተብህለ ከመ ሀሎ ፩ወሬዛ ዘሠናይ አርአያሁ ወያፈቅራ ለእግዝእትነ በኵሉ ልቡ ወይትአካ በኵሉ ክሂሎቱ እንዘ ሀሎ ውስተ ዓለም እምቅድመ ይመንኵስ ወእምዝ ሖረ ወቦአ ውስተ ደብር ወአመከረ ርእሶ አሐተ ዓመተ ወይቤሎ አበ ምኔት አእምር ኦወልድየ እስመ
172,ወነበረ፡ ፩ብእሲ፡ ባዕል፡ ወነጋዲ፡ በሀገረ፡ ኒቆንያ፨ ወቦቱ፡ ምግባረ፡ ሠናይ፡ ወይምሕክ፡ ነዳያነ፡ በውሂበ፡ መጽዋት፡ ብዙኃ፡ ወአሐተ፡ ዕለተ፡ ሐለየ፡ በልቡ፡ እንዘ፡ ይብል፡ እስመ፡ ሊተ፡ ሀለወኒ፡ ብዙኅ፡ ንዋይ፡ ብየ፡ ወርቅ፡ ወብሩረ፨ ወእፈቅድ፡ አሐብ፡ ለነዳያን፡ ወለምስኪናን፨  እምቅድመ፡… ,ወነበረ ፩ብእሲ ባዕል ወነጋዲ በሀገረ ኒቆንያ ወቦቱ ምግባረ ሠናይ ወይምሕክ ነዳያነ በውሂበ መጽዋት ብዙኃ ወአሐተ ዕለተ ሐለየ በልቡ እንዘ ይብል እስመ ሊተ ሀለወኒ ብዙኅ ንዋይ ብየ ወርቅ ወብሩረ ወእፈቅድ አሐብ ለነዳያን ወለምስኪናን እምቅድመ
41,ወሀለወት፡ አሐቲ፡ አረጊት፡ በሀገር፡ እንተ፡ ሰማ፡ ባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወትፈቅራ፡ ለእግዝእትነ፡ ... ፨ በኵሉ፡ ልባ፡   ወ* ምጽዋተ፡ *ን፡ ወለምስኪናን፡ በእንተ፡ ስማ፡ ለእግዝእትነ፡ ... ወእምፃማ፡ እዴሃ፡ …,ወሀለወት አሐቲ አረጊት በሀገር እንተ ሰማ ባት ወፈራሂተ እግዚአብሔር ይእቲ ወትፈቅራ ለእግዝእትነ በኵሉ ልባ ወ ምጽዋተ ን ወለምስኪናን በእንተ ስማ ለእግዝእትነ ወእምፃማ እዴሃ
47,ወሀለወ፡ ፩ተንባል፨  ወይነግድ፡ በሀገረ፡ *  በባሕረ፡ ኢያሪኮ፡ በሐመር፨  ወሖረ፡ በከመ፡ ልማዱ፡ ወወፅአ፡ እምባሕር፡ *  …,ወሀለወ ፩ተንባል ወይነግድ በሀገረ በባሕረ ኢያሪኮ በሐመር ወሖረ በከመ ልማዱ ወወፅአ እምባሕር
54,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡ ... እመ፡ ምሕረት፡ ሰማዒት፡ ለዘሰአላ፨ ወመሥፍስሒት፡* ለሕዙናን፡ በአማን፡ ተወካፊት፡ ለዘሰአላ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት ፨ ወእ*ዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮሐንስ፡ እስቁፍ፡ በገዳማ፡ አስቄጥሰ፡ በደብረ፡ ነጋድያን፡ አዘዘኒ፡ …,ስምዑ አበውየ ወአኃውየ ዘንተ ነገረ ዘኮነ በእንተ እግዝእትነ እመ ምሕረት ሰማዒት ለዘሰአላ ወመሥፍስሒት ለሕዙናን በአማን ተወካፊት ለዘሰአላ በጥቡዕ ልብ ወበጽኑዕ ሃይማኖት ወእዘ ሀሎኩ አነ ነዳይ ዮሐንስ እስቁፍ በገዳማ አስቄጥሰ በደብረ ነጋድያን አዘዘኒ
26,ወኮነ፡ በበዓላ፡ ለእግዝእትነ፡ ቅድስት፡ ድንግል፡ በ፪ማርያም፡ አመ፲ወ፯ለነሐሲ፡ ዕርገተ፡ ሥጋሃ፡ ቅዱስ፡ ውስተ፡ ሰማያት፡ ወይትገብር፡ ላቲ፡ በዐል፡ ዓቢይ፡ በቤተ፡ ልሔም፡ ኀበ፡ መካን፡ ዘወለደቶ፡ ለምድኃኔ፡  ዓለም፨   ወይትጋብኡ፡ ውስቴቱ፡ ጉባኤ፡ ብዙኃ*፡ እምኵሉ፡ ቤተ፡ ክርስቲያን፡  …,ወኮነ በበዓላ ለእግዝእትነ ቅድስት ድንግል በ፪ማርያም አመ፲ወ፯ለነሐሲ ዕርገተ ሥጋሃ ቅዱስ ውስተ ሰማያት ወይትገብር ላቲ በዐል ዓቢይ በቤተ ልሔም ኀበ መካን ዘወለደቶ ለምድኃኔ ዓለም ወይትጋብኡ ውስቴቱ ጉባኤ ብዙኃ እምኵሉ ቤተ ክርስቲያን
53,ወሀሎ፡ ውስተ፡ ዝንቱ፡ ደብረ፡ ምጥማቅ፡ ቤተ፡ ክርስቲያን፡ ዘሕንጽት፡ በስመ፡ እግዝእትነ፡ ... ዔላ፡ ዘውእቱ፡ እምእ*ደ፡ ማይ፨ ወልማዶሙ፡ ለመነኮሳት፡ ለለኵሉ፡ ዓመት፡ እምቅድመ፡ ብጽሐተ፡ በዐል፡ ዘደብር፨ ወየአስቡ፡ ሰብአ፡ ወይሁብ፡ … ,ወሀሎ ውስተ ዝንቱ ደብረ ምጥማቅ ቤተ ክርስቲያን ዘሕንጽት በስመ እግዝእትነ ዔላ ዘውእቱ እምእደ ማይ ወልማዶሙ ለመነኮሳት ለለኵሉ ዓመት እምቅድመ ብጽሐተ በዐል ዘደብር ወየአስቡ ሰብአ ወይሁብ
55,ወሀለዉ፡ በገዳመ፡ አስቄጥሰ፡ ብዙኃን፡ ሕሙማን፡ እምአበው፡ ቅዱሳን፡ ወኣእረፉ፡ እለ፡ አልቦሙ፡ ኈልቍ፡ በውስተ፡ ውእቱ፡ ደብር፨ እንዘ፡ ንገብር፡ ተዝካሮሙ፡ ወንተመሐጸን፡ በጸሎቶሙ፨ ወበአሐቲ፡ ሌሊት፡ እንዘ፡ ሀሎነ፡ ጉቡአን፡ ውስተ፡ ቤተ፡ ክርስቲያን ፨ በጊዜ፡ መንፈቀ፡ ሌሊት፡ እንዘ፡ ንስእል፡ ኀበ፡ እግዝእትነ፡...,ወሀለዉ በገዳመ አስቄጥሰ ብዙኃን ሕሙማን እምአበው ቅዱሳን ወኣእረፉ እለ አልቦሙ ኈልቍ በውስተ ውእቱ ደብር እንዘ ንገብር ተዝካሮሙ ወንተመሐጸን በጸሎቶሙ ወበአሐቲ ሌሊት እንዘ ሀሎነ ጉቡአን ውስተ ቤተ ክርስቲያን በጊዜ መንፈቀ ሌሊት እንዘ ንስእል ኀበ እግዝእትነ
56,ወአሐተ፡ ዕለት፡ ወፅአ፡ ፩መምሕር፡በገዳመ፡ አስቄጥስ፡ ወርእየ፡ ብዙኃ፡ መናፍስት፡ ርኩሳን፡ ወአጋንንት፡ ዘአልቦ፡ ኍልቈ፡ ወደንገፀ፡ ወጐየ፡ …,ወአሐተ ዕለት ወፅአ ፩መምሕርበገዳመ አስቄጥስ ወርእየ ብዙኃ መናፍስት ርኩሳን ወአጋንንት ዘአልቦ ኍልቈ ወደንገፀ ወጐየ
71,ወሀሎ፡ ፩ብእሲ፡ ዘስሙ፡ መስፍያኖስ፡ ንጉሠ፡  ሮምያ፡ ወስመ፡ *  ስፍ*ግያ፡ እስመ፡ መካን፡ ይእቲ፡ ወአልባ፡ ውሉድ፡ ወኢምንትኒ፡ ወነበሩ፡ ፪ኤሆሙ፡ እንዘ፡ የኀዝኑ፡ ፲ወ፭ዓመተ፡ ወጻድቃን፡ *   ሙንቱ፡ ወይሁቡ፡ ምጽዋት፡ ለነዳያን፡ ወለምስኪናን፡ …,ወሀሎ ፩ብእሲ ዘስሙ መስፍያኖስ ንጉሠ ሮምያ ወስመ ስፍግያ እስመ መካን ይእቲ ወአልባ ውሉድ ወኢምንትኒ ወነበሩ ፪ኤሆሙ እንዘ የኀዝኑ ፲ወ፭ዓመተ ወጻድቃን ሙንቱ ወይሁቡ ምጽዋት ለነዳያን ወለምስኪናን
1005,ስምዑ፡ ዘንተ፡ አበዊነ፡ ወአኃዊነ፡ ንነግረክሙ፡ ዜና፡ ተአምሪሃ፡ ለእግዝእትነ፡ ማርያም፡ ዘገብረት፡ በደብረ፡ ዘመዶ፡ በውስተ፡ ሐይመተ፡ እብን። ወነበረት፡ ውስቴታ፡ አሐቲ፡ ብእሲት፡ ዘምስ[ለ]፡ ብዙኅ፡ ንዋያ፡ ወብዙኃን፡ ውሉዳ፡ ዘሞተ፡ ምታ። ወስማ፡ ለይእቲ፡ ብእሲት፡ ዘመደ፡ ማርያም። ወሀገራሰ፡ ዘእግዝእትነ፡ ዘወሀባ፡ ወልዳ፡ እግዚእነ፡ ብሂሎ፡ ትኩንኪ፡ ዐሥራተኪ።,ስምዑ ዘንተ አበዊነ ወአኃዊነ ንነግረክሙ ዜና ተአምሪሃ ለእግዝእትነ ማርያም ዘገብረት በደብረ ዘመዶ በውስተ ሐይመተ እብን ወነበረት ውስቴታ አሐቲ ብእሲት ዘምስለ ብዙኅ ንዋያ ወብዙኃን ውሉዳ ዘሞተ ምታ ወስማ ለይእቲ ብእሲት ዘመደ ማርያም ወሀገራሰ ዘእግዝእትነ ዘወሀባ ወልዳ እግዚእነ ብሂሎ ትኩንኪ ዐሥራተኪ
1006,ወእምድኅረ፡ ኀለፈ፡ አቡነ፡ በርተሎሜዎስ፡ ተሰይሙ፡ ፭ቱ፡ ኖሎት፡ በዛቲ፡ መካን፡ እምድ[ኅረ]ዝ፡ ጸውዐቶ፡ ወሰሐበቶ፡ በሐብለ፡ ፍቅራ፡ እግዝእትነ፡ ማርያም፡ ለአቡነ፡ ዮሐንስ፡ ዐምዳ፡ ወድዳ፡ ለቤተ፡ ክርስቲያን፡ እምነ፡ ሀገሩ፡ ዘይሰመይ፡ ጃን፡ አሞራ፡ ወመላኪሃ፡ ውእቱ፡ በእንተ፡ ፍቅራ፡ ለእግዝእትነ፡ ማርያም፡ ወበእንተ፡ ፍቅረ፡ ወልዳ፡ ኀዲጎ፡ ኵሎ፡ ፍቅሮ፡ ለዝንቱ፡ ዓለም፡ ወቈሳቍሲሁ፡ ተንሥአ፡ ፍጡነ፡ ከመ፡ ይሑር፡ ኀበ፡ ተጸውዐ፡ ከመ፡ ይርአይ፡ ማኅ ለቅቶ፡ ለነገር፡ ወፍጻሜሁ።,ወእምድኅረ ኀለፈ አቡነ በርተሎሜዎስ ተሰይሙ ፭ቱ ኖሎት በዛቲ መካን እምድኅረዝ ጸውዐቶ ወሰሐበቶ በሐብለ ፍቅራ እግዝእትነ ማርያም ለአቡነ ዮሐንስ ዐምዳ ወድዳ ለቤተ ክርስቲያን እምነ ሀገሩ ዘይሰመይ ጃን አሞራ ወመላኪሃ ውእቱ በእንተ ፍቅራ ለእግዝእትነ ማርያም ወበእንተ ፍቅረ ወልዳ ኀዲጎ ኵሎ ፍቅሮ ለዝንቱ ዓለም ወቈሳቍሲሁ ተንሥአ ፍጡነ ከመ ይሑር ኀበ ተጸውዐ ከመ ይርአይ ማኅ ለቅቶ ለነገር ወፍጻሜሁ
1007,ስምዑ፡ እነግርክሙ፡ ዘገብረት፡ ሎቱ፡ እግዝእትነ፡ ማርያም፡ ለአቡነ፡ ዮሐንስ፡ እምድኅረ፡ ጸውዐቶ፡ እምነ፡ ሀገሩ፡ ወተራከበቶ፡ በፍኖት፡ ተመሲላ፡ ነዳይተ፡ ወአስተራከበቶ፡ ካዕበ፡ ምስለ፡ አቡነ፡ ተጠምቀ፡ መድኅን፡ ዘፈከረ፡ ሎቱ፡ ኵሎ። ወእምድኅረ፡ ሤመቶ፡ ኖላዌ፡ አባግዒሃ፡ ወሶበ፡ ኮኖ፡ ፪ዓመተ፡ እምድኅረ፡ ተሠይመ፡ ወአመ፡ በጽሐ፡ ጊዜሁ፡ ዘትቤሎ፡ በአፈ፡ ተጠምቀ፡ መድኅን፡ ድኅረ፡ ተሐውር፡ ኢየሩሳሌም፡ ሆከቶ፡ ጸጋ፡ ወአስተናሥአቶ፡ ወኀሠሠ፡ ዘይስእል፡ ኀበ፡ እግዚአብሔር፡ ከመ፡ ያርትዕ፡ [ሎቱ፡] ፍኖቶ፡ ወኀበ፡ እግዝእትነ፡ ማርያም፡ ከመ፡ ትዕቀቦ፡ እምኵሉ፡ እኩይ።,ስምዑ እነግርክሙ ዘገብረት ሎቱ እግዝእትነ ማርያም ለአቡነ ዮሐንስ እምድኅረ ጸውዐቶ እምነ ሀገሩ ወተራከበቶ በፍኖት ተመሲላ ነዳይተ ወአስተራከበቶ ካዕበ ምስለ አቡነ ተጠምቀ መድኅን ዘፈከረ ሎቱ ኵሎ ወእምድኅረ ሤመቶ ኖላዌ አባግዒሃ ወሶበ ኮኖ ፪ዓመተ እምድኅረ ተሠይመ ወአመ በጽሐ ጊዜሁ ዘትቤሎ በአፈ ተጠምቀ መድኅን ድኅረ ተሐውር ኢየሩሳሌም ሆከቶ ጸጋ ወአስተናሥአቶ ወኀሠሠ ዘይስእል ኀበ እግዚአብሔር ከመ ያርትዕ ሎቱ ፍኖቶ ወኀበ እግዝእትነ ማርያም ከመ ትዕቀቦ እምኵሉ እኩይ
